log_id,log_date,log_name,areas,equipment_list,categories,hours,start,finish,weight,weight_unit,count,notes,raw_notes
https://rothamstedfarm.farmos.net/log/441,27/05/2020 00:00,Grass Plots 1st Cut 2020,RRES LSRE Site,Tym T503;Wilder Grass Box,Harvest,,,,,,2 strips cut from 16 sub-plots : 32 strips cut,"Started. Plots 3, 8, 19, 21, 29, 30","Started;Plots 3, 8, 19, 21, 29, 30"
https://rothamstedfarm.farmos.net/log/442,28/05/2020 00:00,Grass Plots 1st Cut 2020,RRES LSRE Site,Tym T503;Wilder Grass Box,Harvest,,,,,,2 strips cut from 16 sub-plots : 32 strips cut,"Finished. Plots 45, 56","Finished;Plots 45, 56"
https://rothamstedfarm.farmos.net/log/610,23/06/2020 00:00,Park Grass 1st Cut 2020,2020/R/PG/5,Wilder Grass Box;MF3070,Harvest,,,,,,,Harvested Plots 3d to 17a,Harvested Plots 3d to 17a
https://rothamstedfarm.farmos.net/log/611,22/06/2020 00:00,Park Grass 1st Cut 2020,2020/R/PG/5,MF3070;Wilder Grass Box,Harvest,,,,,,,Harvested plots 20/3 to 4/1a,Harvested plots 20/3 to 4/1a
https://rothamstedfarm.farmos.net/log/724,26/06/2020 00:00,Grass Plots 1st Cut 2020,2020/R/CS/767,Tym T503;Wilder Grass Box,Harvest,,,,,,Number of plots cut: 11 plots,"Plots 02, 06, 09, 10, 13, 17, 21, 23, 26, 30, 31","Plots 02, 06, 09, 10, 13, 17, 21, 23, 26, 30, 31"
https://rothamstedfarm.farmos.net/log/773,30/06/2020 00:00,Grass Plots 1st Cut 2020,2020/W/RN/12,JD6620;Wilder Grass Box,Harvest,,,,,,Number of grass plots cut: 4 plots,,
https://rothamstedfarm.farmos.net/log/774,30/06/2020 00:00,Grass Plots 1st Cut 2020,2020/W/RN/3,JD6620;Wilder Grass Box,Harvest,,,,,,Number of grass plots cut: 24 plots,,
https://rothamstedfarm.farmos.net/log/1441,10/06/2020 00:00,Grass Plots 1st Cut 2020,LSRE Brooms Barn,Wilder Grass Box,Harvest,,,,,,Number of grass plots cut: 9 plots,,
https://rothamstedfarm.farmos.net/log/1777,23/07/2020 00:00,Grass Plots 2nd Cut 2020,RRES LSRE Site,Tym T503;Wilder Grass Box,Harvest,,,,,,"2 cuts per sub plot, 4 plots harvested : 16 cuts","Grass yields 2nd cut, 1st year grass plots only, 2 cuts per sub plot, plots 8, 29, 45, 56.","Grass yields 2nd cut, 1st year grass plots only, 2 cuts per sub plot, plots 8, 29, 45, 56."
https://rothamstedfarm.farmos.net/log/1783,28/07/2020 15:35,Grass Plots 2nd Cut 2020,LSRE Brooms Barn,Wilder Grass Box,Harvest,,,,,,"5 plots, cuts each : 5 plots","Grass yields from plots 07, 19, 20, 40, 57.","Grass yields from plots 07, 19, 20, 40, 57."
